Machine_ID,Avg_OOC_Rate,Max_OOC_Rate,LOT_Count,avg_PI_value,Total_Records,Particle_yield_loss_Mean,Particle_yield_loss_sum,Particle_loss_Qty,Total_Die_Qty,Move_Count,diff_from_avg,Lot_count,OOB_Score,QTY_Score,Loss_Score,Weighted_Risk_index,Source,Week_Range,Start_Week,End_Week
B1_DSCM_02,10.0054,100.0,700,0.1324,4343,0.0045,3.1644,500,232778,830,0.0003874999999999998,403,45.048265677340346,100.0,58.44155844155844,61.39592964755951,top_5_weighted_score,2026-W28 ~ 2026-W35,2026-W28,2026-W35
B1_ETCH_03,22.2104,100.0,46,0.5698,130,0.0035,0.1628,19,16896,58,0.0006124999999999998,403,100.0,7.121960453630247,45.45454545454545,59.60621027254424,top_5_weighted_score,2026-W28 ~ 2026-W35,2026-W28,2026-W35
B1_COAT_07,16.8065,50.0,178,0.3857,42566,0.004,0.7094,119,69169,206,0.00011249999999999975,403,75.66950617728632,29.611161782167994,51.94805194805194,56.96925560656891,top_5_weighted_score,2026-W28 ~ 2026-W35,2026-W28,2026-W35
B1_DEVP_03,15.3188,50.0,200,0.3086,29206,0.0044,0.8716,124,69544,248,0.00028750000000000043,403,68.97129272773115,29.772496515169767,57.14285714285714,56.40015925126927,top_5_weighted_score,2026-W28 ~ 2026-W35,2026-W28,2026-W35
B1_DEVP_04,12.1711,30.0,150,0.2749,21932,0.005,0.752,75,45110,172,0.0008875000000000003,403,54.79910312286136,19.26035553872894,64.93506493506493,51.74573833091631,top_5_weighted_score,2026-W28 ~ 2026-W35,2026-W28,2026-W35
B1_SCOP_06,6.1297,52.17,204,0.1837,17427,0.0065,1.319,166,66237,239,0.0023875,403,27.5983323127904,28.349739283071468,84.4155844155844,50.47551454796422,top5_particle_loss,2026-W28 ~ 2026-W35,2026-W28,2026-W35
B1_ETCH_05,0.0,0.0,83,0.2624,872,0.0077,0.6358,81,35357,102,0.0035875000000000004,403,0.0,15.06436180281884,100.0,43.01287236056377,top5_particle_loss,2026-W28 ~ 2026-W35,2026-W28,2026-W35
B1_COAT_04,4.9012,20.0,100,0.1616,16940,0.0061,0.6113,57,18860,111,0.0019875000000000006,403,22.067139718330154,7.966924228604863,79.22077922077922,42.10855242136472,top5_particle_loss,2026-W28 ~ 2026-W35,2026-W28,2026-W35
B1_ETCH_02,3.2,100.0,125,0.1226,583,0.0057,0.7087,100,41440,157,0.0015875000000000004,403,14.407664877714947,17.681426285084928,74.02597402597402,38.90974081849257,top5_particle_loss,2026-W28 ~ 2026-W35,2026-W28,2026-W35
B1_SCOP_01,0.0,0.0,20,0.1022,1512,0.0056,0.1117,16,5628,22,0.0014875,403,0.0,2.2741743963929855,72.72727272727273,29.54574397018769,top5_particle_loss,2026-W28 ~ 2026-W35,2026-W28,2026-W35
