Machine_ID,Avg_OOC_Rate,Max_OOC_Rate,LOT_Count,avg_PI_value,Total_Records,Particle_yield_loss_Mean,Particle_yield_loss_sum,Particle_loss_Qty,Total_Die_Qty,Move_Count,diff_from_avg,Lot_count,OOB_Score,QTY_Score,Loss_Score,Weighted_Risk_index,Source,Week_Range,Start_Week,End_Week
B1_WFCL_01,50.0,50.0,4,0.4993,22,0.0045,0.0181,4,1042,8,0.0004555555555555554,429,100.0,0.3281064077944416,54.878048780487795,62.016840793754014,top_5_weighted_score,2026-W30 ~ 2026-W37,2026-W30,2026-W37
B1_DSCM_02,10.8171,100.0,604,0.1339,2675,0.0047,2.8654,306,170247,765,0.0006555555555555559,429,21.6342,100.0,57.3170731707317,51.58050926829268,top_5_weighted_score,2026-W30 ~ 2026-W37,2026-W30,2026-W37
B1_SCOP_06,10.3489,52.17,177,0.2314,13426,0.0074,1.3167,101,44346,218,0.003355555555555556,429,20.6978,25.83675969887254,90.24390243902438,49.544032915384264,top_5_weighted_score,2026-W30 ~ 2026-W37,2026-W30,2026-W37
B1_ETCH_05,0.0,0.0,67,0.2279,1341,0.0082,0.5509,47,27972,109,0.004155555555555556,429,0.0,16.191491617676512,100.0,43.238298323535304,top_5_weighted_score,2026-W30 ~ 2026-W37,2026-W30,2026-W37
B1_WFCL_02,4.9311,50.0,484,0.1066,3502,0.0043,2.0817,214,154457,626,0.00025555555555555574,429,9.8622,90.69874294600676,52.439024390243894,43.06023834529891,top_5_weighted_score,2026-W30 ~ 2026-W37,2026-W30,2026-W37
B1_ETCH_02,0.0,0.0,82,0.119,343,0.0075,0.6128,49,17122,109,0.0034555555555555555,429,0.0,9.8001908554329,91.46341463414633,38.54540402474512,top5_particle_loss,2026-W30 ~ 2026-W37,2026-W30,2026-W37
B1_ETCH_04,1.875,100.0,96,0.0838,672,0.006,0.5802,51,23727,132,0.001955555555555556,429,3.75,13.69093201069733,73.17073170731707,33.506479085066296,top5_particle_loss,2026-W30 ~ 2026-W37,2026-W30,2026-W37
B1_SCOP_01,0.0,0.0,16,0.0897,1120,0.0067,0.1079,13,2584,16,0.002655555555555556,429,0.0,1.2364368940045476,81.70731707317073,32.9302142080692,top5_particle_loss,2026-W30 ~ 2026-W37,2026-W30,2026-W37
