Machine_ID,Avg_OOC_Rate,Max_OOC_Rate,LOT_Count,avg_PI_value,Total_Records,Particle_yield_loss_Mean,Particle_yield_loss_sum,Particle_loss_Qty,Total_Die_Qty,Move_Count,diff_from_avg,Lot_count,OOB_Score,QTY_Score,Loss_Score,Weighted_Risk_index,Source,Week_Range,Start_Week,End_Week
B1_DSCM_02,8.1205,100.0,480,0.1239,3406,0.0038,1.8084,370,184598,552,0.0005315789473684207,194,34.68890834917448,100.0,69.0909090909091,61.511926976033436,top_5_weighted_score,2026-W24 ~ 2026-W31,2026-W24,2026-W31
B1_COAT_07,15.7418,30.99,115,0.3572,32354,0.0037,0.4292,92,48559,127,0.00043157894736842086,194,67.24534911040388,26.28849780012571,67.27272727272728,59.06493011327761,top_5_weighted_score,2026-W24 ~ 2026-W31,2026-W24,2026-W31
B1_OVEN_02,17.3299,68.24,70,0.2166,23688,0.0037,0.2592,44,19137,74,0.00043157894736842086,194,74.02934705995429,10.346453109083422,67.27272727272728,58.590120354889315,top_5_weighted_score,2026-W24 ~ 2026-W31,2026-W24,2026-W31
B1_DEVP_03,13.5325,55.56,126,0.2917,16621,0.0036,0.448,87,46913,144,0.0003315789473684206,194,57.807727631944296,25.396627581872167,65.45454545454545,54.384234750970336,top_5_weighted_score,2026-W24 ~ 2026-W31,2026-W24,2026-W31
B1_ETCH_03,23.4095,100.0,22,0.6054,68,0.0015,0.0323,9,11345,24,0.0017684210526315793,194,100.0,6.124428357788422,27.272727272727277,52.1339765806486,top_5_weighted_score,2026-W24 ~ 2026-W31,2026-W24,2026-W31
B1_ETCH_02,4.0404,100.0,99,0.1327,468,0.0054,0.5369,74,36015,111,0.002131578947368421,194,17.259659539930368,19.49164481241466,98.18181818181819,50.07492005118236,top5_particle_loss,2026-W24 ~ 2026-W31,2026-W24,2026-W31
B1_AGST_10,5.4924,100.0,76,0.2306,17308,0.0047,0.359,47,9192,78,0.0014315789473684209,194,23.462269591405196,4.957844773402111,85.45454545454547,44.55829497306069,top5_particle_loss,2026-W24 ~ 2026-W31,2026-W24,2026-W31
B1_STEP_03,3.2593,33.33,40,0.1772,1053,0.0052,0.2067,17,4149,44,0.0019315789473684205,194,13.922979986757515,2.2253408179631116,94.54545454545455,43.83244197647745,top5_particle_loss,2026-W24 ~ 2026-W31,2026-W24,2026-W31
B1_AGST_06,0.0,0.0,130,0.1085,19049,0.0053,0.6905,104,30173,138,0.0020315789473684207,194,0.0,16.326209930861094,96.36363636363637,41.810696531626775,top5_particle_loss,2026-W24 ~ 2026-W31,2026-W24,2026-W31
B1_SCOP_01,0.0,0.0,13,0.1053,803,0.0055,0.071,10,4870,15,0.0022315789473684204,194,0.0,2.616008149288021,100.0,40.5232016298576,top5_particle_loss,2026-W24 ~ 2026-W31,2026-W24,2026-W31
