Machine_ID,Avg_OOC_Rate,Max_OOC_Rate,LOT_Count,avg_PI_value,Total_Records,Particle_yield_loss_Mean,Particle_yield_loss_sum,Particle_loss_Qty,Total_Die_Qty,Move_Count,diff_from_avg,Lot_count,OOB_Score,QTY_Score,Loss_Score,Weighted_Risk_index,Source,Week_Range,Start_Week,End_Week
B1_WFCL_01,35.7145,50.0,11,0.3713,67,0.0052,0.0568,9,1913,19,0.0012155555555555557,406,100.0,1.0368526066269887,62.65060240963856,65.26761148518082,top_5_weighted_score,2026-W31 ~ 2026-W38,2026-W31,2026-W38
B1_SCOP_06,11.068,52.17,146,0.2489,10309,0.0078,1.1388,63,28598,188,0.0038155555555555555,406,30.990214058715647,23.790480738075342,93.97590361445782,54.74454321688446,top_5_weighted_score,2026-W31 ~ 2026-W38,2026-W31,2026-W38
B1_DSCM_02,7.9099,100.0,494,0.1235,2082,0.0047,2.3067,195,117975,664,0.0007155555555555561,406,22.147587114477314,100.0,56.62650602409639,51.50963725542948,top_5_weighted_score,2026-W31 ~ 2026-W38,2026-W31,2026-W38
B1_WFCL_02,5.3521,50.0,380,0.1092,2664,0.0044,1.6576,136,112826,519,0.00041555555555555616,406,14.985790085259488,95.60957724381385,53.01204819277109,46.32105075997501,top_5_weighted_score,2026-W31 ~ 2026-W38,2026-W31,2026-W38
B1_DEVP_03,18.6662,50.0,181,0.3521,33990,0.0036,0.6455,57,47866,244,0.0003844444444444442,406,52.265046409721535,40.21981957400365,43.373493975903614,46.299380069050784,top_5_weighted_score,2026-W31 ~ 2026-W38,2026-W31,2026-W38
B1_ETCH_05,0.0,0.0,65,0.1982,1318,0.0083,0.5408,34,20314,106,0.004315555555555556,406,0.0,16.72692235542898,100.0,43.345384471085794,top5_particle_loss,2026-W31 ~ 2026-W38,2026-W31,2026-W38
B1_PLAT_03,8.9786,100.0,124,0.4556,1598,0.006,0.7501,54,22642,144,0.002015555555555556,406,25.13992916042504,18.71194938522144,72.28915662650603,42.71402419181672,top5_particle_loss,2026-W31 ~ 2026-W38,2026-W31,2026-W38
B1_ETCH_04,2.4324,100.0,74,0.0795,501,0.0068,0.5054,27,20051,113,0.0028155555555555555,406,6.8106791359251835,16.502668872252254,81.92771084337349,38.79588976616992,top5_particle_loss,2026-W31 ~ 2026-W38,2026-W31,2026-W38
B1_ETCH_02,0.0,0.0,70,0.1242,298,0.0073,0.5114,43,16025,107,0.003315555555555556,406,0.0,13.069799962482307,87.95180722891565,37.79468288406272,top5_particle_loss,2026-W31 ~ 2026-W38,2026-W31,2026-W38
