Machine_ID,Avg_OOC_Rate,Max_OOC_Rate,LOT_Count,avg_PI_value,Total_Records,Particle_yield_loss_Mean,Particle_yield_loss_sum,Particle_loss_Qty,Total_Die_Qty,Move_Count,diff_from_avg,Lot_count,OOB_Score,QTY_Score,Loss_Score,Weighted_Risk_index,Source,Week_Range,Start_Week,End_Week
B1_DSCM_02,10.3787,100.0,670,0.1352,4238,0.0046,3.1028,472,232644,764,0.0003078947368421051,375,47.744722351285084,100.0,63.013698630136986,64.30336839256883,top_5_weighted_score,2026-W27 ~ 2026-W34,2026-W27,2026-W34
B1_ETCH_03,21.7379,100.0,47,0.5722,138,0.0035,0.1628,19,16476,55,0.0007921052631578948,375,100.0,6.604336066777848,47.945205479452056,60.49894940513639,top_5_weighted_score,2026-W27 ~ 2026-W34,2026-W27,2026-W34
B1_COAT_07,16.4092,50.0,168,0.3795,40259,0.0042,0.7041,118,67993,195,9.210526315789509e-05,375,75.48659254113782,28.862322534931344,57.534246575342465,58.980800153578386,top_5_weighted_score,2026-W27 ~ 2026-W34,2026-W27,2026-W34
B1_DEVP_03,14.6429,50.0,190,0.3023,27863,0.0045,0.8549,123,69527,226,0.00020789473684210483,375,67.36115264123949,29.525089218592033,61.643835616438345,57.50701314678954,top_5_weighted_score,2026-W27 ~ 2026-W34,2026-W27,2026-W34
B1_OVEN_01,14.5244,59.45,118,0.42,35560,0.0044,0.5141,100,47510,126,0.00010789473684210543,375,66.81602178683313,20.01261589775938,60.27397260273973,54.83852093538103,top_5_weighted_score,2026-W27 ~ 2026-W34,2026-W27,2026-W34
B1_SCOP_06,5.9372,52.17,202,0.1766,17571,0.0065,1.3101,163,69807,232,0.002207894736842105,375,27.312665896889765,29.646063580668297,89.04109589041096,52.470717431053956,top5_particle_loss,2026-W27 ~ 2026-W34,2026-W27,2026-W34
B1_COAT_04,5.1253,20.0,91,0.1633,15617,0.0064,0.5858,53,16789,98,0.0021078947368421055,375,23.577714498640624,6.739568121527388,87.67123287671234,45.84749257444666,top5_particle_loss,2026-W27 ~ 2026-W34,2026-W27,2026-W34
B1_ETCH_05,0.0,0.0,87,0.2449,920,0.0073,0.6358,81,35417,95,0.0030078947368421052,375,0.0,14.787819609944092,100.0,42.95756392198882,top5_particle_loss,2026-W27 ~ 2026-W34,2026-W27,2026-W34
B1_ETCH_02,3.3058,100.0,121,0.1242,566,0.0057,0.692,88,41526,147,0.0014078947368421054,375,15.20754074680627,17.427220959672333,78.08219178082192,40.80133720298574,top5_particle_loss,2026-W27 ~ 2026-W34,2026-W27,2026-W34
B1_STEP_03,1.6469,33.33,122,0.1785,4601,0.006,0.7325,46,19562,149,0.0017078947368421053,375,7.576168811154711,7.937646357375548,82.1917808219178,37.494709124704116,top5_particle_loss,2026-W27 ~ 2026-W34,2026-W27,2026-W34
