Machine_ID,Avg_OOC_Rate,Max_OOC_Rate,LOT_Count,avg_PI_value,Total_Records,Particle_yield_loss_Mean,Particle_yield_loss_sum,Particle_loss_Qty,Total_Die_Qty,Move_Count,diff_from_avg,Lot_count,OOB_Score,QTY_Score,Loss_Score,Weighted_Risk_index,Source,Week_Range,Start_Week,End_Week
B1_DSCM_02,9.4817,100.0,524,0.1285,3667,0.0039,2.0214,386,195678,589,0.00027948717948717873,249,35.48181882818727,100.0,50.649350649350644,54.45246779101517,top_5_weighted_score,2026-W25 ~ 2026-W32,2026-W25,2026-W32
B1_DEVP_04,9.6259,30.0,90,0.2633,11825,0.0063,0.5666,60,31223,99,0.002679487179487179,249,36.02143495979074,15.938273119466764,81.81818181818181,50.323501335082376,top_5_weighted_score,2026-W25 ~ 2026-W32,2026-W25,2026-W32
B1_COAT_04,6.2893,20.0,42,0.1766,6527,0.0077,0.3252,36,8400,42,0.004079487179487179,249,23.535421196211463,4.272219836839845,100.0,50.268612445852554,top_5_weighted_score,2026-W25 ~ 2026-W32,2026-W25,2026-W32
B1_COAT_07,16.1384,32.32,137,0.3725,37300,0.0038,0.5166,103,57654,151,0.0001794871794871789,249,60.39210109756874,29.44856774826719,49.35064935064935,49.78681372894067,top_5_weighted_score,2026-W25 ~ 2026-W32,2026-W25,2026-W32
B1_ETCH_03,26.7227,100.0,30,0.6241,92,0.0016,0.0485,14,13100,32,0.0020205128205128212,249,100.0,6.674640659183381,20.77922077922078,49.64661644352499,top_5_weighted_score,2026-W25 ~ 2026-W32,2026-W25,2026-W32
B1_SCOP_06,4.706,52.17,159,0.1491,16618,0.0064,1.0152,143,59281,174,0.002779487179487179,249,17.610495945394742,30.28021427549122,83.11688311688312,46.346994480009386,top5_particle_loss,2026-W25 ~ 2026-W32,2026-W25,2026-W32
B1_STEP_03,2.0506,33.33,64,0.1725,1338,0.0058,0.3681,24,7062,69,0.0021794871794871785,249,7.6736257938007775,3.588296632521622,75.32467532467531,33.91697977389477,top5_particle_loss,2026-W25 ~ 2026-W32,2026-W25,2026-W32
B1_SCOP_01,0.0,0.0,19,0.1025,1341,0.0059,0.1117,16,5607,21,0.0022794871794871788,249,0.0,2.844568484328038,76.62337662337661,31.218264346216255,top5_particle_loss,2026-W25 ~ 2026-W32,2026-W25,2026-W32
