Machine_ID,Avg_OOC_Rate,Max_OOC_Rate,LOT_Count,avg_PI_value,Total_Records,Particle_yield_loss_Mean,Particle_yield_loss_sum,Particle_loss_Qty,Total_Die_Qty,Move_Count,diff_from_avg,Lot_count,OOB_Score,QTY_Score,Loss_Score,Weighted_Risk_index,Source,Week_Range,Start_Week,End_Week
B1_ETCH_03,21.7379,100.0,47,0.5487,132,0.0036,0.1707,20,16944,59,0.0009209302325581389,419,100.0,8.09839584491251,15.126050420168067,47.67009933704973,top_5_weighted_score,2026-W29 ~ 2026-W36,2026-W29,2026-W36
B1_DSCM_02,10.0776,100.0,671,0.1299,3536,0.0048,3.2112,448,208750,830,0.0002790697674418608,419,46.35958395245171,100.0,20.168067226890756,46.61106047173699,top_5_weighted_score,2026-W29 ~ 2026-W36,2026-W29,2026-W36
B1_COAT_07,17.3174,50.0,188,0.3988,41777,0.0039,0.7275,113,65338,216,0.000620930232558139,419,79.66454901347416,31.285815589244304,16.386554621848738,44.67760457197802,top_5_weighted_score,2026-W29 ~ 2026-W36,2026-W29,2026-W36
B1_DEVP_03,15.4277,50.0,205,0.3155,30384,0.0044,0.8982,119,67050,260,0.00012093023255813854,419,70.97143698333326,32.106100389060316,18.487394957983195,42.20475285433865,top_5_weighted_score,2026-W29 ~ 2026-W36,2026-W29,2026-W36
B1_PRRM_01,0.0,0.0,1,0.3436,5,0.0238,0.0238,1,42,1,0.019279069767441863,419,0.0,0.0,100.0,40.0,top_5_weighted_score,2026-W29 ~ 2026-W36,2026-W29,2026-W36
B1_SCOP_06,7.5527,52.17,215,0.2007,17437,0.0069,1.4864,166,63533,255,0.002379069767441861,419,34.74438653227773,30.420970925886888,28.99159663865546,31.578587453550657,top5_particle_loss,2026-W29 ~ 2026-W36,2026-W29,2026-W36
B1_COAT_04,4.6628,20.0,96,0.1597,16311,0.0063,0.6093,52,18694,111,0.0017790697674418612,419,21.450094075324664,8.936887900799203,26.47058823529412,20.955650504407355,top5_particle_loss,2026-W29 ~ 2026-W36,2026-W29,2026-W36
B1_ETCH_05,0.0,0.0,73,0.256,810,0.0081,0.5946,61,30429,100,0.0035790697674418608,419,0.0,14.559576058416543,34.033613445378144,16.525360589834566,top5_particle_loss,2026-W29 ~ 2026-W36,2026-W29,2026-W36
B1_ETCH_02,0.0,0.0,101,0.0922,450,0.0066,0.6651,78,31101,131,0.002079069767441861,419,0.0,14.881557007877033,27.731092436974787,14.068748376365322,top5_particle_loss,2026-W29 ~ 2026-W36,2026-W29,2026-W36
