EVENT_ID,PSN,MAINTENANCE_START,MAINTENANCE_END,MAINTENANCE_USER,MAINTENANCE_CONTENT,AVG_PI_BEFORE,AVG_PI_AFTER,DIFF,P_VALUE,SIGNIFICANT_DROP
B1_THKZ_05_B1_THKZ_05#LP_20260826200037,B1_THKZ_05#LP,2026-08-26 20:00:00,2026-08-26 20:30:00,K25353,"Clean item : IPA clean and removed sensor, inverted it for 5min
tools: particle measure tools AERO TRAK 9030-01   S/N:93032542012
measure value
0.3μm:0
0.5μm:0
5.0μm:0",0.186,0.636,0.45,1.0000,否
B1_SCOP_06_B1_SCOP_06#ST_20260826181200,B1_SCOP_06#ST,2026-08-26 21:40:00,2026-08-26 21:59:00,K05632,"使用酒精清潔機台，量測落塵：0.5um:0,5um:0",0.302,0.053,-0.249,0.0000,是
B1_AGST_01_B1_AGST_01#ST_20260826160344,B1_AGST_01#ST,2026-08-26 20:25:00,2026-08-26 20:38:00,K23570,"使用酒精清潔機台，量測落塵：0.5um:0,5um:0",0.487,0.431,-0.056,0.0000,是
B1_DEVP_04_B1_DEVP_04#14-1_20260826142613,B1_DEVP_04#14-1,2026-08-26 20:56:00,2026-08-23 21:14:00,K00869,"使用酒精清潔機台，量測落塵：0.5um:0,5um:0",0.303,0.235,-0.068,0.0000,是
B1_COAT_07_B1_COAT_07#11-1_20260826134535,B1_COAT_07#11-1,2026-08-26 20:36:00,2026-08-26 20:49:00,K21979,"使用酒精清潔機台，量測落塵：0.5um:0,5um:0",0.495,0.473,-0.022,0.0086,是
B1_WFCL_02_B1_WFCL_02#LP_20260826132904,B1_WFCL_02#LP,2026-08-26 20:40:00,2026-08-26 20:55:00,K05632,"使用酒精清潔機台，量測落塵：0.5um:0,5um:0",0.142,0.077,-0.064,0.0000,是
B1_AGST_08_B1_AGST_08#PA_20260826115955,B1_AGST_08#PA,2026-08-26 20:52:00,2026-08-26 21:11:00,K23570,"使用酒精清潔機台，量測落塵：0.5um:0,5um:0",0.441,0.099,-0.342,0.0000,是
B1_SCOP_07_B1_SCOP_07#PA_20260826103912,B1_SCOP_07#PA,2026-08-26 20:40:00,2026-08-26 20:59:00,K23570,"使用酒精清潔機台，量測落塵：0.5um:0,5um:0",0.19,0.62,0.43,1.0000,否
B1_DEVP_02_B1_DEVP_02#12-1_20260826100950,B1_DEVP_02#12-1,2026-08-26 21:36:00,2026-08-26 21:45:00,K21123,"使用酒精清潔機台，量測落塵：0.5um:0,5um:0",0.334,0.266,-0.068,0.0000,是
B1_SHTZ_01_B1_SHTZ_01#PA_20260826081852,B1_SHTZ_01#PA,2026-08-26 21:42:00,2026-08-26 21:56:00,K23570,"使用酒精清潔機台，量測落塵：0.5um:0,5um:0",0.43,0.272,-0.158,0.0000,是
