Machine_ID,Avg_OOC_Rate,Max_OOC_Rate,LOT_Count,avg_PI_value,Total_Records,Particle_yield_loss_Mean,Particle_yield_loss_sum,Particle_loss_Qty,Total_Die_Qty,Move_Count,diff_from_avg,Lot_count,OOB_Score,QTY_Score,Loss_Score,Weighted_Risk_index,Source,Week_Range,Start_Week,End_Week
B1_WFCL_01,50.0,50.0,4,0.4993,22,0.0045,0.0181,4,1042,8,0.0005622222222222218,492,100.0,0.24043442226673115,62.5,65.04808688445334,top_5_weighted_score,2026-W29 ~ 2026-W37,2026-W29,2026-W37
B1_DSCM_02,9.1672,100.0,754,0.1248,3869,0.0047,3.5122,479,232149,943,0.0007622222222222223,492,18.3344,100.0,65.27777777777779,53.44487111111111,top_5_weighted_score,2026-W29 ~ 2026-W37,2026-W29,2026-W37
B1_SCOP_06,8.4804,52.17,240,0.2085,19489,0.0066,1.5925,176,66705,286,0.002662222222222222,492,16.9608,28.584501692105807,91.66666666666667,49.167887005087834,top_5_weighted_score,2026-W29 ~ 2026-W37,2026-W29,2026-W37
B1_WFCL_02,4.6563,50.0,611,0.1069,4628,0.0043,2.6043,382,215222,782,0.0003622222222222221,492,9.3126,92.69329718903239,59.72222222222222,46.152588326695366,top_5_weighted_score,2026-W29 ~ 2026-W37,2026-W29,2026-W37
B1_ETCH_05,0.0,0.0,86,0.2427,1444,0.0072,0.617,65,32710,129,0.003262222222222222,492,0.0,13.910232060225153,100.0,42.782046412045034,top_5_weighted_score,2026-W29 ~ 2026-W37,2026-W29,2026-W37
B1_COAT_04,5.0653,20.53,112,0.1617,22604,0.0058,0.6515,59,23316,130,0.0018622222222222217,492,10.1306,9.855221355065957,80.55555555555554,38.24550649323541,top5_particle_loss,2026-W29 ~ 2026-W37,2026-W29,2026-W37
B1_ETCH_02,0.0,0.0,123,0.1097,552,0.0063,0.7765,88,34809,156,0.002362222222222222,492,0.0,14.816285655086677,87.5,37.963257131017336,top5_particle_loss,2026-W29 ~ 2026-W37,2026-W29,2026-W37
B1_ETCH_04,2.5926,100.0,108,0.0852,721,0.0056,0.6072,56,26297,153,0.001662222222222222,492,5.1852,11.141998756820222,77.77777777777779,35.41359086247516,top5_particle_loss,2026-W29 ~ 2026-W37,2026-W29,2026-W37
