Machine_ID,Avg_OOC_Rate,Max_OOC_Rate,LOT_Count,avg_PI_value,Total_Records,Particle_yield_loss_Mean,Particle_yield_loss_sum,Particle_loss_Qty,Total_Die_Qty,Move_Count,diff_from_avg,Lot_count,OOB_Score,QTY_Score,Loss_Score,Weighted_Risk_index,Source,Week_Range,Start_Week,End_Week
B1_COAT_04,6.4198,20.0,46,0.176,7588,0.0082,0.3775,36,9190,48,0.0038918918918918926,229,26.564213331347165,5.524678886320126,100.0,51.73062110980289,top_5_weighted_score,2026-W29 ~ 2026-W32,2026-W29,2026-W32
B1_DSCM_02,10.8216,100.0,416,0.1276,2593,0.0044,1.8308,331,151809,465,9.189189189189213e-05,229,44.778231562744395,100.0,33.333333333333336,51.244625958431094,top_5_weighted_score,2026-W29 ~ 2026-W32,2026-W29,2026-W32
B1_DEVP_04,9.8369,30.0,95,0.2628,11914,0.0063,0.5991,63,31164,100,0.001991891891891892,229,40.70368393394325,20.08094913188349,66.66666666666666,46.96433006662066,top_5_weighted_score,2026-W29 ~ 2026-W32,2026-W29,2026-W32
B1_SCOP_06,4.8901,52.17,140,0.1525,12364,0.0071,0.9948,134,50149,155,0.0027918918918918923,229,20.234533725602162,32.65721156075491,80.7017543859649,46.90595755677782,top_5_weighted_score,2026-W29 ~ 2026-W32,2026-W29,2026-W32
B1_ETCH_03,24.1671,100.0,34,0.5747,95,0.0029,0.0985,16,13422,37,0.0014081081081081083,229,100.0,8.328089083790962,7.017543859649118,44.472635360617836,top_5_weighted_score,2026-W29 ~ 2026-W32,2026-W29,2026-W32
B1_AGST_10,4.1592,59.41,72,0.2107,19058,0.0062,0.4451,43,7253,74,0.0018918918918918916,229,17.210174162394328,4.241549029869037,64.91228070175438,33.697291751633294,top5_particle_loss,2026-W29 ~ 2026-W32,2026-W29,2026-W32
B1_ETCH_02,0.0,0.0,80,0.0998,366,0.0061,0.4893,56,26089,95,0.0017918918918918923,229,0.0,16.71910916209037,63.15789473684211,28.606979727154922,top5_particle_loss,2026-W29 ~ 2026-W32,2026-W29,2026-W32
