Machine_ID,Avg_OOC_Rate,LOT_Count,Particle_yield_loss_Mean,Particle_loss_Qty,Total_Die_Qty,Move_Count,Lot_count,OOB_Score,QTY_Score,Loss_Score,Weighted_Risk_index
B1_WFCL_01,50.0,4,0.0045,4,1042,8,429,100.0,0.3281064077944416,54.878048780487795,62.016840793754014
B1_DSCM_02,10.8171,604,0.0047,306,170247,765,429,21.6342,100.0,57.3170731707317,51.58050926829268
B1_SCOP_06,10.3489,177,0.0074,101,44346,218,429,20.6978,25.83675969887254,90.24390243902438,49.544032915384264
B1_ETCH_05,0.0,67,0.0082,47,27972,109,429,0.0,16.191491617676512,100.0,43.238298323535304
B1_WFCL_02,4.9311,484,0.0043,214,154457,626,429,9.8622,90.69874294600676,52.439024390243894,43.06023834529891
B1_SCOP_08,5.4991,267,0.0054,138,73088,316,429,10.9982,42.767521589048194,65.85365853658537,39.294247732443786
B1_DEVP_03,16.7136,210,0.0039,83,57615,270,429,33.4272,33.652996548108526,47.56097560975609,39.12586955352414
B1_DEVP_04,12.3093,148,0.005,58,39213,171,429,24.6186,22.813114831352127,60.97560975609756,38.80030686870945
B1_ETCH_02,0.0,82,0.0075,49,17122,109,429,0.0,9.8001908554329,91.46341463414633,38.54540402474512
B1_PLAT_03,9.4171,146,0.0056,68,31052,164,429,18.8342,18.005796350184376,68.29268292682926,38.45191244076858
B1_COAT_07,17.8327,172,0.0036,66,48173,204,429,35.6654,28.091092235011367,43.90243902439024,37.44535405675837
B1_THKZ_03,0.1695,314,0.0056,156,83067,410,429,0.339,48.64575111037806,68.29268292682926,37.18182339280732
B1_DSCM_03,9.0243,387,0.0037,144,101206,476,429,18.0486,59.33071005289759,45.12195121951219,37.13436249838439
B1_SCOP_07,5.2536,245,0.005,115,68556,301,429,10.5072,40.09790176835805,60.97560975609756,36.61270425611063
B1_AGST_09,1.5773,165,0.0056,84,56964,199,429,3.1546,33.26951850237391,68.29268292682926,35.23281687120649
B1_COAT_04,4.7089,92,0.0059,43,21316,110,429,9.4178,12.270708403529646,71.95121951219512,35.00174948558398
B1_OVEN_01,15.7161,119,0.0036,66,39748,137,429,31.432199999999998,23.128261919628656,43.90243902439024,34.75950799368183
B1_AGST_08,9.4768,140,0.0047,80,31281,181,429,18.9536,18.140691085166292,57.3170731707317,34.13640748532594
B1_PRRM_05,1.3995,168,0.0057,84,40256,199,429,2.799,23.427504388496835,69.51219512195121,33.60997892647985
B1_ETCH_04,1.875,96,0.006,51,23727,132,429,3.75,13.69093201069733,73.17073170731707,33.506479085066296
B1_SCOP_01,0.0,16,0.0067,13,2584,16,429,0.0,1.2364368940045476,81.70731707317073,32.9302142080692
B1_ETCH_03,14.6877,48,0.0039,20,15975,64,429,29.375400000000003,9.124539060567146,47.56097560975609,32.59945805601587
B1_STEP_04,3.605,315,0.0034,146,97733,372,429,7.21,57.28490474900154,41.46341463414633,30.92634680345884
B1_SCOP_09,11.7361,275,0.0026,90,67157,322,429,23.4722,39.273806859014385,31.707317073170728,29.926568201071166
B1_AGST_11,11.9319,94,0.0031,49,38022,105,429,23.8638,22.111544397450547,37.80487804878048,29.089780099002304
B1_OVEN_02,13.1701,120,0.0031,40,25341,127,429,26.340199999999996,14.641674815329697,37.80487804878048,28.58636618257813
B1_SCOP_03,9.4443,230,0.0026,88,69351,298,429,18.8886,40.56620445093719,31.707317073170728,28.351607719455735
B1_STEP_03,1.8376,186,0.0045,59,38612,228,429,3.6752,22.45908978452186,54.878048780487795,27.913117469099493
B1_PRRM_01,0.0,21,0.0055,8,1924,22,429,0.0,0.8476573084671482,67.07317073170731,26.998799754376357
B1_DEVP_02,6.2803,210,0.0027,95,66277,269,429,12.560599999999999,38.75543407829785,32.926829268292686,25.946058522976642
B1_AGST_06,0.0,153,0.0045,66,33364,185,429,0.0,19.36770301952145,54.878048780487795,25.824760116099412
B1_AGST_10,4.5618,82,0.0043,24,9613,95,429,9.1236,5.376939479977851,52.439024390243894,25.70043765209313
B1_WFCL_03,0.0,93,0.0041,36,26096,142,429,0.0,15.086415098785357,50.0,23.017283019757073
B1_COAT_06,3.2046,102,0.0032,47,40341,128,429,6.409199999999999,23.47757448663423,39.02439024390244,22.86895099488782
B1_PLAT_01,0.0,24,0.0044,12,7438,36,429,0.0,4.095734027638694,53.65853658536586,22.282561439674087
B1_DSCM_04,0.0,20,0.0044,6,4422,26,429,0.0,2.3191291337283966,53.65853658536586,21.927240460892026
B1_SPUT_03,0.0,151,0.0031,58,47581,180,429,0.0,27.742368727983884,37.80487804878048,20.67042496510897
B1_SCOP_02,5.4349,84,0.0025,35,22808,99,429,10.8698,13.149585890835406,30.48780487804878,19.172959129386594
B1_COAT_03,2.3741,141,0.0028,44,27815,154,429,4.7482,16.099009201116857,34.14634146341463,18.777618425589225
B1_THKZ_05,0.0,2,0.0018,3,2336,3,429,0.0,1.0903500194389792,21.95121951219512,8.998557808765844
B1_PLAT_02,0.0,10,0.0016,7,3611,14,429,0.0,1.8414014914998647,19.51219512195122,8.173158347080461
B1_SPUT_02,0.0,20,0.0009,3,4999,24,429,0.0,2.659016741084577,10.97560975609756,4.92204725065594
B1_AGST_02,0.1018,22,0.0004,2,1745,23,429,0.2036,0.7422155723895807,4.878048780487805,2.181102626673038
B1_AGST_18,0.0,8,0.0,0,2519,14,429,0.0,1.1981479954288947,0.0,0.23962959908577897
B1_THKZ_02,0.0,5,0.0,0,485,9,429,0.0,0.0,0.0,0.0
