Machine_ID,Avg_OOC_Rate,LOT_Count,Particle_yield_loss_Mean,Particle_loss_Qty,Total_Die_Qty,Move_Count,Lot_count,OOB_Score,QTY_Score,Loss_Score,Weighted_Risk_index
B1_DSCM_02,14.5753,194,0.0037,124,72740,209,79,80.22953707271425,100.0,36.55913978494624,66.7154707430642
B1_COAT_07,14.1139,56,0.004,33,18402,58,79,77.68976716023558,23.583844293187827,39.78494623655914,51.70665421735546
B1_DSCM_03,15.7692,52,0.0026,30,17731,54,79,86.80134309462211,22.64020925915509,24.731182795698924,49.14105220795943
B1_DEVP_03,11.7699,67,0.0038,36,22111,73,79,64.78725161006219,28.799853743601282,37.63440860215054,46.72863483360535
B1_SCOP_09,12.7751,55,0.0032,27,21690,61,79,70.32036109429184,28.20779659110086,31.182795698924735,46.242822035506805
B1_DEVP_04,11.9522,23,0.0042,17,6526,24,79,65.79071943634061,6.882488608876638,41.935483870967744,44.466979044698675
B1_ETCH_03,18.167,10,0.0003,4,6727,11,79,100.0,7.165157225628621,0.0,41.43303144512572
B1_ETCH_02,0.0,21,0.0096,9,5310,22,79,0.0,5.172413793103448,100.0,41.03448275862069
B1_SCOP_06,5.8004,51,0.0053,47,19897,56,79,31.928221500522923,25.686280024751085,53.76344086021506,39.413920949245416
B1_AGST_10,9.7579,19,0.0044,8,1632,20,79,53.71222546375295,0.0,44.08602150537635,39.11929878765172
B1_SCOP_03,12.8678,59,0.0013,28,24009,65,79,70.83062696097319,31.46903302019463,10.752688172043012,38.92713265724541
B1_PLAT_03,11.6626,31,0.0027,19,10905,31,79,64.19662024550007,13.040726781796705,25.80645161290323,38.60937409972067
B1_WFCL_02,3.5667,150,0.0036,96,59877,165,79,19.6328507733803,81.91061483939922,35.483870967741936,38.42881166432874
B1_AGST_11,13.9806,16,0.0013,9,11663,18,79,76.95601915561183,14.106710918602689,10.752688172043012,37.904825114782476
B1_OVEN_01,10.8257,30,0.0023,24,14723,34,79,59.5899157813618,18.41002418855825,21.505376344086024,36.12012168789079
B1_OVEN_02,8.1422,27,0.0039,12,7563,27,79,44.818627181152635,8.34083366147269,38.70967741935484,35.079488572497525
B1_SCOP_08,6.2238,55,0.0038,32,19794,62,79,34.25882093906533,25.54142993755977,37.63440860215054,33.865577803998306
B1_SCOP_07,4.5258,62,0.0042,49,26845,72,79,24.912203445808334,35.45733250829724,41.935483870967744,33.830541428369884
B1_DEVP_02,8.266,45,0.0025,31,22475,62,79,45.50008256729234,29.311751139112335,23.655913978494628,33.52474884613726
B1_AGST_06,0.0,62,0.0071,39,12413,68,79,0.0,15.16144456319964,73.11827956989248,32.27960074059692
B1_SCOP_01,0.0,9,0.0075,7,1826,9,79,0.0,0.272824436069078,77.41935483870968,31.022306822697686
B1_STEP_04,1.4487,77,0.0029,56,40527,89,79,7.974349094512028,54.69848680879789,27.95698924731183,25.312232698489122
B1_COAT_04,1.45,11,0.0053,10,3736,11,79,7.981504926515109,2.95887945097598,53.76344086021506,25.28975420488727
B1_THKZ_03,0.0,73,0.0042,48,30292,77,79,0.0,40.30488833886483,41.935483870967744,24.835171216160063
B1_STEP_03,2.5638,39,0.0041,16,4107,42,79,14.112401607309957,3.480621027169939,40.86021505376345,22.685170869863352
B1_SPUT_03,0.0,47,0.0041,31,17291,50,79,0.0,22.02143218765821,40.86021505376345,20.74837245903702
B1_AGST_08,3.1422,23,0.0028,27,6764,28,79,17.29619640006605,7.217190752095403,26.88172043010753,19.114604882488514
B1_PRRM_05,0.0,41,0.0038,28,15294,41,79,0.0,19.213028069978062,37.63440860215054,18.896369054855832
B1_COAT_06,3.3746,24,0.002,16,14964,37,79,18.575438982770955,18.748945266355403,18.27956989247312,18.49179260336871
B1_COAT_03,2.9852,27,0.0024,15,7868,27,79,16.431992073539934,8.769758676942116,22.58064516129032,17.359006629320525
B1_AGST_09,2.1372,32,0.001,22,25111,32,79,11.764187813067648,33.018788321989085,7.526881720430109,14.32018547779692
B1_PLAT_01,0.0,8,0.0033,8,4347,8,79,0.0,3.8181357934409634,32.25806451612904,13.666852965139809
B1_ETCH_04,0.0,30,0.0027,26,9212,31,79,0.0,10.659841368059853,25.80645161290323,12.454548918773265
B1_SCOP_02,0.217,10,0.0027,16,6834,10,79,1.1944734958991576,7.315632558924453,25.80645161290323,12.263496555305847
B1_ETCH_05,0.0,13,0.002,15,8957,14,79,0.0,10.30123192889689,18.27956989247312,9.372074342768625
