Machine_ID,Avg_OOC_Rate,LOT_Count,Particle_yield_loss_Mean,Particle_loss_Qty,Total_Die_Qty,Move_Count,Lot_count,OOB_Score,QTY_Score,Loss_Score,Weighted_Risk_index
B1_WFCL_01,35.7145,11,0.0052,9,1913,19,406,100.0,1.0368526066269887,62.65060240963856,65.26761148518082
B1_SCOP_06,11.068,146,0.0078,63,28598,188,406,30.990214058715647,23.790480738075342,93.97590361445782,54.74454321688446
B1_DSCM_02,7.9099,494,0.0047,195,117975,664,406,22.147587114477314,100.0,56.62650602409639,51.50963725542948
B1_WFCL_02,5.3521,380,0.0044,136,112826,519,406,14.985790085259488,95.60957724381385,53.01204819277109,46.32105075997501
B1_DEVP_03,18.6662,181,0.0036,57,47866,244,406,52.265046409721535,40.21981957400365,43.373493975903614,46.299380069050784
B1_DSCM_03,8.3396,382,0.0037,135,102312,491,406,23.35073989556063,86.64455396579068,44.57831325301205,44.50053205258721
B1_THKZ_05,33.3333,3,0.0012,3,2378,4,406,93.33268000391998,1.433346407680895,14.457831325301203,43.40287381322465
B1_ETCH_05,0.0,65,0.0083,34,20314,106,406,0.0,16.72692235542898,100.0,43.345384471085794
B1_OVEN_01,18.1505,104,0.0036,46,31049,124,406,50.821095073429554,25.88038677330787,43.373493975903614,42.853912974394845
B1_PLAT_03,8.9786,124,0.006,54,22642,144,406,25.13992916042504,18.71194938522144,72.28915662650603,42.71402419181672
B1_COAT_07,18.0945,145,0.0033,41,36002,181,406,50.66429601422391,30.1036852606627,39.75903614457831,42.19006991565343
B1_SCOP_08,5.6103,269,0.005,126,67155,321,406,15.708745747525512,56.667064581592456,60.24096385542169,41.713296757497375
B1_DEVP_04,11.6017,143,0.0047,47,35465,174,406,32.484565092609444,29.64579887105851,56.62650602409639,41.573588220894045
B1_SCOP_07,6.0239,220,0.0049,81,51992,274,406,16.866818799087206,43.73795596787121,59.036144578313255,39.10877654453443
B1_THKZ_03,0.2095,272,0.0058,117,64275,379,406,0.5865964804211174,54.21136103958116,69.87951807228914,39.02871802900034
B1_AGST_08,10.907,135,0.0046,57,27004,176,406,30.539416763499418,22.43131704155937,55.42168674698795,38.87070481250683
B1_ETCH_04,2.4324,74,0.0068,27,20051,113,406,6.8106791359251835,16.502668872252254,81.92771084337349,38.79588976616992
B1_ETCH_02,0.0,70,0.0073,43,16025,107,406,0.0,13.069799962482307,87.95180722891565,37.79468288406272
