Machine_ID,Avg_OOC_Rate,Max_OOC_Rate,LOT_Count,avg_PI_value,Total_Records,Particle_yield_loss_Mean,Particle_yield_loss_sum,Particle_loss_Qty,Total_Die_Qty,Move_Count,diff_from_avg,Lot_count,OOB_Score,QTY_Score,Loss_Score,Weighted_Risk_index,Source,Week_Range,Start_Week,End_Week
B1_WFCL_01,35.7145,50.0,11,0.3713,67,0.0052,0.0568,9,1913,19,0.0013466666666666666,475,100.0,0.6557270967359242,71.23287671232876,68.6242961042787,top_5_weighted_score,2026-W30 ~ 2026-W38,2026-W30,2026-W38
B1_SCOP_06,9.6918,52.17,189,0.227,13940,0.0072,1.361,107,46579,236,0.0033466666666666666,475,27.136877178736928,24.74183441812309,98.63013698630137,55.25517254963994,top_5_weighted_score,2026-W30 ~ 2026-W38,2026-W30,2026-W38
B1_DSCM_02,9.9328,100.0,668,0.13,3016,0.0044,2.9296,317,186140,852,0.0005466666666666671,475,27.81167312996122,100.0,60.27397260273973,55.23425829308039,top_5_weighted_score,2026-W30 ~ 2026-W38,2026-W30,2026-W38
B1_WFCL_02,4.9977,50.0,514,0.1082,3690,0.0042,2.1431,225,166982,668,0.00034666666666666656,475,13.993476039143765,89.66906273086609,57.534246575342465,46.544901591967715,top_5_weighted_score,2026-W30 ~ 2026-W38,2026-W30,2026-W38
B1_DEVP_03,17.0809,50.0,240,0.3367,41169,0.0035,0.8505,90,68262,309,0.0003533333333333331,475,47.82623304260174,36.43437606164697,47.945205479452056,45.59545062115092,top_5_weighted_score,2026-W30 ~ 2026-W38,2026-W30,2026-W38
B1_ETCH_05,0.0,0.0,78,0.2143,1371,0.0073,0.5663,49,29271,120,0.003446666666666667,475,0.0,15.40850827477985,100.0,43.08170165495597,top5_particle_loss,2026-W30 ~ 2026-W38,2026-W30,2026-W38
B1_ETCH_02,0.0,0.0,89,0.1136,377,0.0069,0.6172,50,21293,127,0.0030466666666666667,475,0.0,11.106377700964718,94.52054794520548,40.02949471827513,top5_particle_loss,2026-W30 ~ 2026-W38,2026-W30,2026-W38
B1_SCOP_01,0.0,0.0,16,0.0897,1120,0.0067,0.1079,13,2584,16,0.002846666666666667,475,0.0,1.0175633483064879,91.78082191780823,36.91584143678459,top5_particle_loss,2026-W30 ~ 2026-W38,2026-W30,2026-W38
B1_ETCH_04,1.7647,100.0,102,0.0816,697,0.0057,0.585,53,29083,142,0.001846666666666667,475,4.94113035321788,15.307129414429232,78.08219178082192,36.27075473650177,top5_particle_loss,2026-W30 ~ 2026-W38,2026-W30,2026-W38
